Radial_dist.	Pressure
0.1	179658.540741
0.2	169815.660596
0.3	163785.897289
0.4	159371.534148
0.5	155863.650715
0.6	152940.114001
0.7	150426.37547
0.8	148216.877506
0.9	146242.764111
1.0	144456.553243
1.1	142824.07635
1.2	141319.901045
1.3	139924.571019
1.4	138622.859476
1.5	137402.61914
1.6	136253.999469
1.7	135168.898504
1.8	134140.569572
1.9	133163.333021
2.0	132232.360977
2.1	131343.51393
2.2	130493.214841
2.3	129678.350853
2.4	128896.195632
2.5	128144.347342
2.6	127420.678612
2.7	126723.295808
2.8	126050.50561
2.9	125400.787362
3.0	124772.770043
3.1	124165.212957
3.2	123576.989445
3.3	123007.073063
3.4	122454.525795
3.5	121918.487946
3.6	121398.169439
3.7	120892.842288
3.8	120401.834054
3.9	119924.522149
4.0	119460.328838
4.1	119008.716859
4.2	118569.185559
4.3	118141.267477
4.4	117724.52532
4.5	117318.549269
4.6	116922.954579
4.7	116537.379434
4.8	116161.483026
4.9	115794.943829
5.0	115437.458047
5.1	115088.738211
5.2	114748.511915
5.3	114416.520667
5.4	114092.518855
5.5	113776.272794
5.6	113467.559874
5.7	113166.16777
5.8	112871.893729
5.9	112584.543914
6.0	112303.932805
6.1	112029.88265
6.2	111762.222958
6.3	111500.790037
6.4	111245.426565
6.5	110995.981199
6.6	110752.308209
6.7	110514.267145
6.8	110281.722524
6.9	110054.543548
7.0	109832.603834
7.1	109615.781169
7.2	109403.957282
7.3	109197.017634
7.4	108994.851216
7.5	108797.350369
7.6	108604.410612
7.7	108415.930486
7.8	108231.811401
7.9	108051.957502
8.0	107876.275536
8.1	107704.674736
8.2	107537.066707
8.3	107373.365316
8.4	107213.486603
8.5	107057.348678
8.6	106904.871643
8.7	106755.977507
8.8	106610.59011
8.9	106468.635055
9.0	106330.039636
9.1	106194.732778
9.2	106062.64498
9.3	105933.708254
9.4	105807.856077
9.5	105685.023341
9.6	105565.146303
9.7	105448.162547
9.8	105334.010939
9.9	105222.631587
10.0	105113.965807
