x	P	S
0.0375	229559.306975	0.385226204478
0.1125	214281.859379	0.454592366109
0.1875	204893.862369	0.484862700049
0.2625	197876.214515	0.495481558778
0.3375	192291.651384	0.498340380747
0.4125	187670.662262	0.499095429193
0.4875	183724.888202	0.499388260887
0.5625	180273.30355	0.499553625654
0.6375	177198.708675	0.499662986095
0.7125	174421.565512	0.499740415249
0.7875	171885.468603	0.499797609536
0.8625	169548.945273	0.499841194673
0.9375	167380.591815	0.499875225078
1.0125	165356.04395	0.499902317484
1.0875	163456.009513	0.499924232153
1.1625	161664.945299	0.499942193724
1.2375	159970.140184	0.499957078412
1.3125	158361.063247	0.499969528239
1.3875	156828.889838	0.499980023363
1.4625	155366.150214	0.49998892936
1.5375	153966.464486	0.499996528974
1.6125	152624.339584	0.500003043957
1.6875	151335.011546	0.500008650409
1.7625	150094.321503	0.500013489755
1.8375	148898.617027	0.500017676729
1.9125	147744.672866	0.500021305279
1.9875	146629.626647	0.500024452982
2.0625	145550.926262	0.500027184395
2.1375	144506.28649	0.500029553624
2.2125	143493.652947	0.500031606321
2.2875	142511.171936	0.500033381233
2.3625	141557.165076	0.500034911439
2.4375	140630.107807	0.500036225331
2.5125	139728.611098	0.500037347392
2.5875	138851.405787	0.500038298841
2.6625	137997.329122	0.500039098143
2.7375	137165.313123	0.500039761434
2.8125	136354.374493	0.500040302871
2.8875	135563.60583	0.500040734918
2.9625	134792.167935	0.500041068588
3.0375	134039.283068	0.500041313645
3.1125	133304.22901	0.500041478769
3.1875	132586.333808	0.500041571703
3.2625	131884.97113	0.500041599372
3.3375	131199.556126	0.500041567987
3.4125	130529.541747	0.500041483132
3.4875	129874.415447	0.500041349839
3.5625	129233.696238	0.500041172656
3.6375	128606.932033	0.500040955698
3.7125	127993.69727	0.500040702702
3.7875	127393.59075	0.500040417063
3.8625	126806.233699	0.500040101875
3.9375	126231.268	0.500039759962
4.0125	125668.354598	0.500039393906
4.0875	125117.172041	0.50003900607
